Default,Reserve,Lifetime,Loss
10,4,20,0.29993
5,4,20,0.06581
10,1,20,0.29993
5,1,20,0.07957
10,4,10,0.3
5,4,10,0.29998
10,1,10,0.29998
5,1,10,0.29995
