Default,Reserve,Lifetime,Loss
10,4,20,0.29993
5,4,20,0.07736
10,1,20,0.29997
5,1,20,0.0706
10,4,10,0.29999
5,4,10,0.29997
10,1,10,0.29996
5,1,10,0.29994
