Default,Reserve,Lifetime,Loss
10,4,20,0.29991
5,4,20,0.07081
10,1,20,0.29992
5,1,20,0.08023
10,4,10,0.29998
5,4,10,0.29996
10,1,10,0.29999
5,1,10,0.29994
