Default,Reserve,Lifetime,Loss
10,4,20,0.29991
5,4,20,0.08051
10,1,20,0.29996
5,1,20,0.0764
10,4,10,0.29997
5,4,10,0.29996
10,1,10,0.29998
5,1,10,0.29996
