Default,Reserve,Lifetime,Loss
10,4,20,0.29993
5,4,20,0.07394
10,1,20,0.29995
5,1,20,0.07097
10,4,10,0.29997
5,4,10,0.29997
10,1,10,0.29995
5,1,10,0.29992
