Default,Reserve,Lifetime,Loss
10,4,20,0.29993
5,4,20,0.06838
10,1,20,0.29995
5,1,20,0.06963
10,4,10,0.3001
5,4,10,0.29995
10,1,10,0.29998
5,1,10,0.29992
