Default,Reserve,Lifetime,Loss
10,4,20,0.29993
5,4,20,0.06788
10,1,20,0.29992
5,1,20,0.07838
10,4,10,0.29997
5,4,10,0.29992
10,1,10,0.29998
5,1,10,0.29994
