Loss,Connection
0.28736,0.05828
0.28662,0.0673
0.28571,0.03291
0.28994,0.05746
0.2807,0.01498
0.28387,0.05291
0.3,0.0093
0.27326,0.03748
0.35465,0.02385
0.32184,0.00205
0.28395,0.03504
0.27389,0.04683
0.32768,0.01575
0.28049,0.04725
0.29268,0.0439
0.28302,0.06596
0.27329,0.06056
0.29268,0.06932
0.31361,0.01023
0.28824,0.0739
