Default,Reserve,Lifetime,Loss
10,4,20,0.29991
5,4,20,0.07744
10,1,20,0.29994
5,1,20,0.06789
10,4,10,0.29997
5,4,10,0.30006
10,1,10,0.29996
5,1,10,0.29993
