Default,Reserve,Lifetime,Loss
10,4,20,0.29992
5,4,20,0.0722
10,1,20,0.29993
5,1,20,0.07092
10,4,10,0.30004
5,4,10,0.29995
10,1,10,0.29998
5,1,10,0.29994
