Default,Reserve,Lifetime,Loss
10,4,20,0.29993
5,4,20,0.07538
10,1,20,0.29993
5,1,20,0.06793
10,4,10,0.29997
5,4,10,0.30015
10,1,10,0.29996
5,1,10,0.29992
