Default,Reserve,Lifetime,Loss
10,4,20,0.29991
5,4,20,0.06405
10,1,20,0.29993
5,1,20,0.08106
10,4,10,0.29998
5,4,10,0.29994
10,1,10,0.29997
5,1,10,0.29993
