Default,Reserve,Lifetime,Loss
10,4,20,0.29995
5,4,20,0.0675
10,1,20,0.29993
5,1,20,0.08623
10,4,10,0.29996
5,4,10,0.29992
10,1,10,0.29994
5,1,10,0.29992
