Default,Reserve,Lifetime,Loss
10,4,20,0.29994
5,4,20,0.07536
10,1,20,0.29994
5,1,20,0.08438
10,4,10,0.29998
5,4,10,0.29999
10,1,10,0.29997
5,1,10,0.29994
