Default,Reserve,Lifetime,Loss
10,4,20,0.29992
5,4,20,0.07652
10,1,20,0.29996
5,1,20,0.07351
10,4,10,0.29995
5,4,10,0.30004
10,1,10,0.29996
5,1,10,0.29992
