Default,Reserve,Lifetime,Loss
10,4,20,0.29996
5,4,20,0.07493
10,1,20,0.29994
5,1,20,0.06835
10,4,10,0.3
5,4,10,0.2999
10,1,10,0.29998
5,1,10,0.29991
